"","ID_03","ID_05","ID_06","ID_07","ID_08","ID_09","ID_10","ID_10_CONFIRM","ID_10_CORRECTED","INC_01","INC_02","INC_03","INC_04","INC_06","INC_10","INC_11","INC_12","AA01_1","AA01_2","AA02_1","AA02_2","EXP25_1","EXP25_2","EXP26_1","EXP26_2","key","formdef_version","duration","submissionday"
"11",215,1013,27,16,6,2,3,1,NA,29000,"0",0,0,20000,0,14000,0,0,0,NA,NA,1,0,1,NA,"uuid:92f73357-7986-47b5-aa2a-c0528f013ab3",2305021814,224.16667175293,2021-09-09
"12",215,1014,27,16,6,2,3,1,NA,20000,"10000",0,0,0,0,0,0,0,0,NA,NA,7,5,5,5,"uuid:63c95410-ff76-40fc-9fd7-4be5d0b544b3",2305021814,142.933334350586,2021-09-09
"13",214,1015,27,16,6,2,3,1,NA,0,"0",0,0,0,0,253000,0,1,0,1,NA,7,1,1,5,"uuid:9689cc90-5db9-4459-a12d-da3317a9b3d8",2305021814,69.8333358764648,2021-09-09
"14",210,1017,40,16,6,2,3,1,NA,0,"0",0,0,0,0,21600,0,0,0,NA,NA,0,0,NA,NA,"uuid:754d923e-e147-462d-842e-9c27990365a4",2305021814,106.300003051758,2021-09-09
"15",211,1019,40,16,6,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:47cfcfd3-4154-480f-ac4d-03a011ea1e65",2305021814,140.550003051758,2021-09-09
"16",211,1020,40,16,6,2,3,1,NA,10000,"0",0,0,0,0,1050000,0,1,1,1,2,0,0,NA,NA,"uuid:7320251e-2f4f-40d1-a6c2-bcc4c55294f0",2305021814,141.350006103516,2021-09-09
"17",226,1021,78,16,6,2,3,1,NA,90000,"0",30000,0,0,0,75000,0,0,0,NA,NA,1,0,1,NA,"uuid:9d1f9ebe-d4ec-4fe1-9295-68d2e1a3e655",2305021814,117.300003051758,2021-09-09
"18",205,1022,78,16,6,2,3,1,NA,31500,"0",20000,0,7000,0,60000,0,0,0,NA,NA,7,0,1,NA,"uuid:9139686c-ec28-4ebf-ae5e-5f9a090864df",2305021814,89.2333297729492,2021-09-09
"19",226,1023,78,16,6,2,3,1,NA,40000,"0",0,0,0,0,126000,0,0,1,NA,1,2,2,5,5,"uuid:383f1371-f7c3-4fb2-adbe-2bfcf43cdab3",2305021814,96.283332824707,2021-09-09
"20",205,1024,78,16,6,2,3,1,NA,514000,"0",0,0,73000,0,56000,0,0,0,NA,NA,7,0,1,NA,"uuid:e726f63d-7c97-4dd4-8225-971e98d3fdd7",2305021814,87.4000015258789,2021-09-09
"21",214,1025,78,16,6,2,3,1,NA,0,"60000",0,0,0,0,0,20000,0,0,NA,NA,7,0,5,NA,"uuid:11936b2b-eaa9-47f4-a455-4376ba646f29",2305021814,60.783332824707,2021-09-09
"22",214,1026,80,16,6,2,3,1,NA,0,"25000",0,0,0,0,20000,0,0,0,NA,NA,7,0,1,NA,"uuid:a226a869-ac5a-43dd-84b7-53a3a7a4a44c",2305021814,191.066665649414,2021-09-09
"23",215,1027,80,16,6,2,3,1,NA,13000,"5000",0,0,0,0,15000,0,0,0,NA,NA,7,0,1,NA,"uuid:2aaebe60-90ee-481e-aebb-b220f5c23cb9",2305021814,183.5,2021-09-09
"24",210,1028,80,16,6,2,3,1,NA,0,"0",0,0,0,0,84000,0,0,0,NA,NA,1,0,1,NA,"uuid:d315b446-798b-4a1b-895f-4f9ff4621149",2305021814,133.616668701172,2021-09-09
"25",214,1029,80,16,6,2,3,1,NA,0,"0",0,0,0,0,7000,0,0,0,NA,NA,5,0,1,NA,"uuid:5d2569eb-5a6b-4306-bb00-4258439b1e85",2305021814,70.283332824707,2021-09-09
"26",215,1030,80,16,6,2,3,1,NA,247000,"0",40000,0,0,0,120000,0,0,0,NA,NA,0,0,NA,NA,"uuid:8fb9170f-de97-48ed-8ef6-bb9520835a7c",2305021814,119.533332824707,2021-09-09
"27",210,1033,100,16,6,2,3,1,NA,45000,"0",0,0,0,0,205000,0,0,0,NA,NA,2,1,5,5,"uuid:1cf6abc3-7f8f-4aff-a2f3-8289e9734d53",2305021814,77.3000030517578,2021-09-09
"28",227,1034,100,16,6,2,3,1,NA,5e+05,"500000",0,0,0,0,1e+05,0,0,0,NA,NA,2,0,1,NA,"uuid:1e54fc48-94d6-4f1d-add2-e6a8f41ceb55",2305021814,126.716667175293,2021-09-09
"29",210,1035,100,16,6,2,3,1,NA,0,"0",0,0,0,0,180000,0,0,0,NA,NA,2,0,1,NA,"uuid:7e4cfb69-7b65-47ae-a3bf-20bb409fc5b7",2305021814,137.816665649414,2021-09-09
"30",226,1036,100,16,6,2,3,1,NA,16500,"0",12000,0,0,0,21500,0,0,0,NA,NA,7,0,5,NA,"uuid:1bd77a63-61b7-494f-8c5e-00b75e4f3595",2305021814,125.449996948242,2021-09-09
"31",211,1037,100,16,6,2,3,1,NA,0,"0",0,0,0,0,34500,0,0,0,NA,NA,7,0,1,NA,"uuid:159c234c-9d13-49ed-ab71-205c41d886f5",2305021814,63.8333320617676,2021-09-09
"32",226,1039,100,16,6,2,3,1,NA,0,"0",20000,0,0,0,65000,6000,0,0,NA,NA,1,0,1,NA,"uuid:0a929ff9-2118-4f99-b9fc-310f35dacabf",2305021814,108,2021-09-09
"33",210,1040,100,16,6,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,3,0,5,NA,"uuid:ce544013-3657-4121-a724-196f7bc6141d",2305021814,97.466667175293,2021-09-09
"34",222,1041,107,4,6,2,3,1,NA,12000,"0",0,0,0,0,10000,0,0,0,NA,NA,7,0,5,NA,"uuid:7b8785d2-2a1b-4512-b14d-1e613906262c",2305021814,115.099998474121,2021-09-09
"35",239,1042,107,4,6,2,3,1,NA,0,"0",0,0,0,0,5e+05,0,0,0,NA,NA,2,2,5,5,"uuid:8dafeb73-2988-4532-b8e3-b7000a0604e9",2305021814,148.383331298828,2021-09-09
"36",218,1043,107,4,6,2,3,1,NA,74000,"0",0,0,0,0,24000,0,0,0,NA,NA,2,0,1,NA,"uuid:623de137-19cc-4571-9bf4-d83ef82c7373",2107051720,136.216659545898,2021-09-09
"37",225,1044,107,4,6,2,3,1,NA,1e+05,"180000",0,0,0,0,0,0,0,0,NA,NA,7,0,5,NA,"uuid:7da25421-5ba6-4d65-b11a-1c43d1903a5a",2305021814,57.283332824707,2021-09-09
"38",229,1045,107,4,6,2,3,1,NA,250000,"150000",0,1600000,2e+05,2000,5e+05,0,0,0,NA,NA,2,0,1,NA,"uuid:a68dea1a-40cb-4002-b695-ad4c9c8d572c",2305021814,63.7999992370605,2021-09-09
"39",239,1046,107,4,6,2,3,1,NA,0,"38000",0,0,0,0,3e+05,0,1,0,1,NA,7,0,1,NA,"uuid:75895440-6dc1-4570-9327-12c5497f59fc",2305021814,122.849998474121,2021-09-09
"40",225,1047,107,4,6,2,3,1,NA,30000,"0",0,0,0,0,15000,0,0,0,NA,NA,3,2,5,5,"uuid:89bae7cd-1a2f-44d6-9f5b-110902ed4780",2305021814,90.3333358764648,2021-09-09
"41",231,1048,107,4,6,2,3,1,NA,1800,"0",0,7e+05,0,0,0,0,0,0,NA,NA,3,0,5,NA,"uuid:f427e51d-290d-4151-aa39-e1385022c2e8",2305021814,119.466667175293,2021-09-09
"42",239,1049,107,4,6,2,3,1,NA,0,"0",0,0,0,0,40000,0,0,0,NA,NA,2,0,1,NA,"uuid:02377e79-67ae-4bb9-a09e-2ec96ec78b72",2305021814,119.416664123535,2021-09-09
"43",213,1051,126,20,4,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,2,0,5,NA,"uuid:59ddc430-fe55-4a17-b3c1-6f7a4011b345",2305021814,97.5,2021-09-10
"44",234,1052,126,20,4,2,3,1,NA,0,"500000",0,0,0,0,0,0,0,0,NA,NA,2,3,5,5,"uuid:018cab83-2769-452c-80ba-0f83bf89d616",2305021814,124.083335876465,2021-09-10
"45",213,1053,126,20,4,2,3,1,NA,0,"200000",0,0,0,0,0,0,0,0,NA,NA,7,0,1,NA,"uuid:021aa201-b92f-4261-83c9-25e382738f46",2305021814,96.1666641235352,2021-09-10
"46",234,1054,126,20,4,2,3,1,NA,50000,"580000",0,0,0,0,380000,0,1,0,1,NA,3,3,1,5,"uuid:97123026-0211-4032-8c64-bca82890416b",2305021814,126.050003051758,2021-09-10
"47",202,1056,16,20,4,2,3,1,NA,0,"0",0,0,0,0,30000,0,0,0,NA,NA,1,2,5,5,"uuid:b06dc30a-c604-4832-9a72-b4977039daab",2305021814,94.1500015258789,2021-09-10
"48",213,1057,16,20,4,2,3,1,NA,7500,"0",0,0,20000,0,0,0,0,0,NA,NA,6,0,5,NA,"uuid:cf9bbfa9-0f15-47ba-9ab1-fe4a2918abae",2107051720,124.483329772949,2021-09-10
"49",202,1058,16,20,4,2,3,1,NA,0,"500000",0,0,250000,0,0,0,0,0,NA,NA,4,2,5,5,"uuid:c17bfdd5-bc6a-441c-9d7b-b3f3c9a40623",2305021814,178.283340454102,2021-09-10
"50",242,1059,16,20,4,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,5,0,5,NA,"uuid:fd43b84c-599a-4ce0-a8c1-6363c45fa53c",2305021814,119,2021-09-10
"51",242,1060,16,20,4,2,3,1,NA,0,"500000",0,0,0,0,30750,0,0,0,NA,NA,2,0,1,NA,"uuid:1eea57ca-0e93-46ec-9b84-c334a1680294",2305021814,92.716667175293,2021-09-10
"52",224,1061,67,20,4,2,3,1,NA,0,"20000",0,190000,0,0,7500,0,0,0,NA,NA,2,0,5,NA,"uuid:04566553-a0eb-4b79-b638-cf94de7d3cdc",2305021814,109.783332824707,2021-09-10
"53",242,1063,67,20,4,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,6,0,5,NA,"uuid:eb84150b-0236-4c31-a414-6032e2f4aec5",2305021814,63.3833351135254,2021-09-10
"54",242,1064,67,20,4,2,3,1,NA,0,"0",0,0,0,0,20000,0,0,0,NA,NA,1,0,5,NA,"uuid:5308bfc7-6fc8-493a-a070-e810d97c686c",2305021814,110.183334350586,2021-09-10
"55",224,1065,67,20,4,2,3,1,NA,220000,"150000",0,0,0,0,40000,0,0,0,NA,NA,2,0,5,NA,"uuid:da308944-9057-4790-80e4-3c3a19caca4a",2305021814,189.766662597656,2021-09-10
"56",202,1066,67,20,4,2,3,1,NA,7000,"0",0,0,0,0,2250,0,0,0,NA,NA,1,0,1,NA,"uuid:3ac74eb3-39b5-4ff3-b68d-bdb78e42aa12",2305021814,201.933334350586,2021-09-10
"57",242,1067,67,20,4,2,3,1,NA,0,"230000",0,0,0,0,4000,0,1,0,2,NA,0,0,NA,NA,"uuid:418f63e4-b851-463d-9174-09843e5d9809",2305021814,115.683334350586,2021-09-10
"58",224,1068,67,20,4,2,3,1,NA,0,"200000",0,0,0,0,0,0,0,0,NA,NA,3,0,5,NA,"uuid:0f3f26cb-da38-4a99-b737-4a04a384820a",2305021814,90.1999969482422,2021-09-10
"59",202,1070,67,20,4,2,3,1,NA,0,"0",10000,0,0,0,370500,0,0,0,NA,NA,1,0,5,NA,"uuid:b6a49d77-55e9-4051-bac1-b9fa9c4ecc53",2305021814,101.616668701172,2021-09-10
"60",224,1071,71,20,4,2,3,1,NA,0,"50000",0,0,0,0,0,0,0,0,NA,NA,1,0,5,NA,"uuid:27af392e-656d-4aa2-954c-17683943e84c",2305021814,71.3499984741211,2021-09-10
"61",234,1072,71,20,4,2,3,1,NA,0,"0",0,3e+05,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:3f79511c-bda0-4c89-a450-919bf15c0442",2305021814,159.699996948242,2021-09-10
"62",224,1073,71,20,4,2,3,1,NA,5000,"300000",0,0,0,0,0,0,0,0,NA,NA,4,0,5,NA,"uuid:74b8db03-ee4b-4bc5-a26a-88963edf78df",2305021814,116,2021-09-10
"63",234,1074,71,20,4,2,3,1,NA,0,"400000",0,0,0,0,0,0,0,0,NA,NA,1,1,5,5,"uuid:8851eb7b-29d0-4ed2-beb5-8878a2e03f49",2305021814,150.766662597656,2021-09-10
"64",224,1075,71,20,4,2,3,1,NA,15000,"7000",0,0,0,0,0,0,0,0,NA,NA,1,0,5,NA,"uuid:e542fc4a-2923-40cc-b729-7d0e8bbb555f",2305021814,143.183334350586,2021-09-10
"65",243,1077,11,25,4,2,3,1,NA,0,"0",0,0,0,0,10000,0,0,0,NA,NA,3,0,1,NA,"uuid:c074591f-5d7f-45b2-9ade-4bb4b9cd5a02",2305021814,130.033340454102,2021-09-10
"66",216,1078,11,25,4,2,3,1,NA,0,"0",0,0,0,0,5000,0,0,0,NA,NA,0,0,NA,NA,"uuid:e00128cc-c2e3-478c-a4b7-76a7c50148e5",2305021814,157.800003051758,2021-09-10
"67",243,1079,3,20,4,2,3,1,NA,0,"0",0,0,0,0,104000,0,0,0,NA,NA,1,0,5,NA,"uuid:2b718e3c-006b-4750-bf6a-f2bafaabdb4d",2305021814,97.4333343505859,2021-09-10
"68",216,1080,11,25,4,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,1,0,5,NA,"uuid:561defd7-7819-4e9b-84bc-f4954aa70b76",2305021814,206.649993896484,2021-09-10
"69",228,1081,3,20,4,2,3,1,NA,10000,"140000",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:43c91c50-f785-43a4-ba65-6dd4853ff046",2305021814,150.600006103516,2021-09-10
"70",212,1084,47,25,4,2,3,1,NA,0,"100000",0,0,0,0,0,0,0,0,NA,NA,3,0,5,NA,"uuid:0776013b-bfd3-4e78-a829-ecb406919dd9",2107051720,154.316665649414,2021-09-10
"71",212,1086,47,25,4,2,3,1,NA,0,"270000",0,0,0,0,23000,0,0,0,NA,NA,7,1,5,5,"uuid:77f0ce25-8580-453c-a789-41f3f85d512f",2305021814,87.466667175293,2021-09-10
"72",228,1087,47,25,4,2,3,1,NA,5000,"0",0,0,0,0,0,0,0,0,NA,NA,1,0,5,NA,"uuid:4b8644a9-97e4-4952-8d03-5f5216006781",2305021814,169.283340454102,2021-09-10
"73",240,1088,47,25,4,2,3,1,NA,0,"0",0,1e+05,0,0,50000,0,0,0,NA,NA,0,0,NA,NA,"uuid:0d08d003-551c-4ce5-99ea-7082f6750791",2305021814,106.216667175293,2021-09-10
"74",212,1090,47,25,4,2,3,1,NA,4000,"0",0,0,0,0,0,0,0,0,NA,NA,1,0,5,NA,"uuid:d0531aa7-c4f3-4c76-92eb-bc1a15198dcc",2305021814,200.016662597656,2021-09-10
"75",240,1091,47,25,4,2,3,1,NA,0,"0",0,0,150000,0,40000,0,0,0,NA,NA,4,0,5,NA,"uuid:151cac63-954a-4986-a00c-2fcc9d1f9ce4",2305021814,153.066665649414,2021-09-10
"76",240,1093,47,25,4,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,5,0,6,NA,"uuid:a0f9d917-a807-4670-bf55-238cd75912a3",2305021814,172.149993896484,2021-09-10
"77",220,1094,47,25,4,2,3,1,NA,0,"450000",0,0,0,0,0,0,0,0,NA,NA,3,0,5,NA,"uuid:7f5f591e-1544-474e-a4aa-4f91e1b1ca07",2305021814,141.16667175293,2021-09-10
"78",220,1095,47,25,4,2,3,1,NA,24000,"0",0,0,0,0,0,0,0,0,NA,NA,1,0,5,NA,"uuid:ff2520e7-f73d-40cf-823e-0a9a2bd41216",2305021814,168.366668701172,2021-09-10
"79",243,1097,110,26,4,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:a1652e72-5657-4bbf-9902-58acc38e5751",2305021814,137.350006103516,2021-09-10
"80",216,1098,110,26,4,2,3,1,NA,54000,"0",0,0,0,0,0,0,0,0,NA,NA,7,0,1,NA,"uuid:c038073f-26fe-4099-872b-a9953430f743",2305021814,81.9333343505859,2021-09-10
"81",216,1100,110,26,4,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,7,0,1,NA,"uuid:c32b80c1-832e-4ccd-b2f9-a1ed0463dc53",2305021814,166.516662597656,2021-09-10
"82",243,1101,72,26,4,2,3,1,NA,0,"80000",0,0,0,0,2e+05,0,0,0,NA,NA,7,4,1,5,"uuid:f8009158-df98-4b48-a763-4420d6ee3e8a",2305021814,80.4166641235352,2021-09-10
"83",212,1103,72,26,4,2,3,1,NA,0,"300000",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:9ad1a577-0c82-48ca-810d-f954b4c65881",2305021814,159.600006103516,2021-09-10
"84",212,1104,72,26,4,2,3,1,NA,40000,"0",0,0,0,0,0,0,0,0,NA,NA,7,2,1,5,"uuid:b7c1a9a6-4c5a-4be9-a0fb-cbf5ba66664f",2305021814,186.266662597656,2021-09-10
"85",220,1105,72,26,4,2,3,1,NA,30000,"20000",0,0,0,0,40000,0,0,0,NA,NA,4,0,5,NA,"uuid:1f73ed75-5664-4ac9-80c5-654e5c6c249d",2305021814,89.2333297729492,2021-09-11
"86",205,1106,21,23,8,2,3,1,NA,227000,"0",0,0,0,0,60000,0,0,0,NA,NA,0,0,NA,NA,"uuid:9816413e-515a-4c47-8fd1-6c7da1e0307d",2305021814,84.6333312988281,2021-09-11
"87",214,1107,21,23,8,2,3,1,NA,0,"0",0,0,0,0,60000,0,0,0,NA,NA,7,0,5,NA,"uuid:140dfedc-fa77-4e4f-9765-2e46cf23739b",2305021814,147.600006103516,2021-09-11
"88",214,1108,21,23,8,2,3,1,NA,0,"0",15000,0,0,0,1e+05,0,0,0,NA,NA,7,0,5,NA,"uuid:b0943f2d-a2d6-40fb-9df1-60ec191cb4a4",2305021814,185.716659545898,2021-09-11
"89",227,1109,21,23,8,2,3,1,NA,20000,"0",0,0,0,0,0,0,0,0,NA,NA,1,0,1,NA,"uuid:c05cf327-af3c-4516-b41c-c043d44d9ee7",2305021814,165.33332824707,2021-09-11
"90",227,1110,21,23,8,2,3,1,NA,50000,"0",0,0,0,0,15000,0,1,0,2,NA,1,0,1,NA,"uuid:85b87b6c-0fcd-44b8-80a7-70d480a95473",2305021814,57.8833351135254,2021-09-11
"91",210,2003,48,2,5,2,4,1,NA,1e+05,"0",0,0,0,0,3e+05,0,1,0,1,NA,3,0,1,NA,"uuid:11c89475-aedf-48ef-82b2-54b00664940e",2305021814,107.966667175293,2021-09-11
"92",211,2004,48,2,5,2,4,1,NA,0,"0",0,1e+06,0,0,30000,0,0,0,NA,NA,3,0,5,NA,"uuid:9dac57bf-2dee-48e8-ba2f-20460c4ed2f1",2305021814,93.466667175293,2021-09-11
"93",211,2005,48,2,5,2,4,1,NA,0,"0",0,0,0,0,35000,0,0,0,NA,NA,3,0,1,NA,"uuid:0cd63124-6ed2-40f4-b08f-0c79e443dc78",2305021814,204.616668701172,2021-09-11
"94",243,2006,122,17,5,2,4,1,NA,45000,"0",4500,0,0,0,22000,0,0,0,NA,NA,1,0,5,NA,"uuid:e09f55dd-6d11-4536-9a64-244dab26461e",2305021814,208.5,2021-09-11
"95",243,2008,122,17,5,2,4,1,NA,1e+05,"20000",0,0,0,0,10000,0,0,0,NA,NA,0,0,NA,NA,"uuid:c51c28b4-6a44-492d-9f75-8ab65675ad9c",2305021814,109.433334350586,2021-09-11
"96",243,2009,124,17,5,2,4,1,NA,0,"0",0,0,0,0,1e+05,0,0,0,NA,NA,5,3,1,5,"uuid:1123ef3f-c388-471c-8da6-d9b2e7af4281",2305021814,130.283340454102,2021-09-11
"97",243,2010,123,11,1,2,4,1,NA,0,"0",0,0,0,0,81600,0,0,0,NA,NA,1,0,1,NA,"uuid:a3224992-b99c-46f6-b7fd-2f0298e613f2",2305021814,115.800003051758,2021-09-11
"98",212,2011,17,17,5,2,4,1,NA,8100,"0",0,0,0,0,0,0,0,0,NA,NA,7,0,5,NA,"uuid:8837825a-43f5-4872-90be-0feb948daf58",2305021814,107.533332824707,2021-09-11
"99",212,2012,17,17,5,2,4,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:1766a08d-a551-4919-aaa7-b7fe05479b30",2305021814,129.983337402344,2021-09-11
"100",212,2013,17,17,5,2,4,1,NA,0,"0",0,0,0,0,2000,0,0,0,NA,NA,7,0,5,NA,"uuid:b491098a-a397-4e91-9808-8fd7129bf978",2305021814,121.366668701172,2021-09-11
"101",212,2014,17,17,5,2,4,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:6d77ab90-22d8-4bd8-ad45-5f8159d67bd1",2305021814,111.233329772949,2021-09-11
"102",240,2017,18,1,8,2,4,1,NA,60000,"40000",0,0,0,0,12000,0,0,0,NA,NA,3,0,5,NA,"uuid:0a83be6c-6442-4be5-88f8-fc421cc6e6ea",2305021814,50.5833320617676,2021-09-11
"103",240,2018,20,17,5,2,4,1,NA,10000,"10000",0,0,0,0,0,45000,0,0,NA,NA,3,0,5,NA,"uuid:de721d12-5e96-43be-8f44-275ddfc0d771",2305021814,146.350006103516,2021-09-11
"104",228,2019,19,26,4,2,4,1,NA,135400,"0",0,0,0,0,0,0,1,0,1,NA,0,0,NA,NA,"uuid:cc3162c0-f3a6-4c25-8718-d9d4b6a21575",2305021814,159.600006103516,2021-09-11
"105",212,2022,20,17,5,2,4,1,NA,0,"0",0,0,0,0,0,50000,0,0,NA,NA,7,0,1,NA,"uuid:7a95cdee-722b-4f17-9e48-29e13badfc5b",2305021814,84.1833343505859,2021-09-11
"106",228,2023,18,1,8,2,4,1,NA,6960,"0",0,0,0,0,0,0,0,0,NA,NA,2,0,1,NA,"uuid:f78a8283-1c17-4724-bbaf-7d6ef77880d0",2305021814,160.41667175293,2021-09-11
"107",240,2024,20,17,5,2,4,1,NA,25000,"6000",0,2e+05,0,0,30000,0,0,0,NA,NA,3,1,1,5,"uuid:e42f77be-631d-46af-8e56-148709394d2e",2305021814,163.716659545898,2021-09-11
"108",216,2026,29,17,5,2,4,1,NA,135000,"0",0,0,0,0,269500,0,0,0,NA,NA,3,2,1,5,"uuid:7b384fcb-1706-4bee-bdf1-9419119d7c51",2305021814,305.383331298828,2021-09-11
"109",228,2027,29,17,5,2,4,1,NA,101700,"0",0,0,0,0,0,0,0,0,NA,NA,5,0,5,NA,"uuid:4f13cfd9-305e-4d61-bc23-74292decabd2",2305021814,108.783332824707,2021-09-11
"110",216,2030,29,17,5,2,4,1,NA,0,"0",0,0,0,0,1800000,0,1,0,1,NA,0,0,NA,NA,"uuid:5d2f213c-8e0b-4108-aca8-b72675d7f55d",2305021814,115.633331298828,2021-09-11
"111",211,2031,44,14,5,2,4,0,2,0,"0",0,0,0,0,0,3e+05,0,0,NA,NA,5,0,1,NA,"uuid:e6cfa15e-fe05-4c86-a6ed-5b29f13ec885",2305021814,119.900001525879,2021-09-11
"112",240,2032,44,17,5,2,4,1,NA,15000,"0",0,0,0,0,80000,440000,0,0,NA,NA,4,0,1,NA,"uuid:dacdcced-456b-4611-894b-19c199ae21e0",2305021814,153.216659545898,2021-09-11
"113",211,2033,45,2,5,2,4,0,2,0,"0",0,0,0,0,64400,0,0,1,NA,1,3,0,5,NA,"uuid:a23ac67a-70d4-448f-96c1-9be9ca177def",2305021814,77.5833358764648,2021-09-11
"114",228,2037,54,17,5,2,4,1,NA,0,"360000",0,0,150000,0,1e+05,0,0,0,NA,NA,4,0,5,NA,"uuid:5b6adc03-8ff3-41e5-a488-da9081033f6b",2305021814,106.366668701172,2021-09-11
"115",228,2038,55,17,5,2,4,1,NA,0,"0",0,0,70000,0,150000,0,0,0,NA,NA,3,0,1,NA,"uuid:01a6475d-aa6c-41c1-b403-6f1f8e490e71",2305021814,75.3833312988281,2021-09-11
"116",216,2039,53,17,5,2,4,1,NA,5000,"463000",0,2300000,0,0,0,0,0,0,NA,NA,2,0,1,NA,"uuid:fb7fa796-d282-42b3-808d-298cd33d1566",2305021814,173.733337402344,2021-09-11
"117",239,2042,102,7,1,2,4,1,NA,43500,"0",0,0,0,0,150000,0,0,0,NA,NA,2,0,1,NA,"uuid:2dde61fd-d249-4c80-90a5-b7c7c0e85a55",2305021814,125.016670227051,2021-09-11
"118",218,2046,98,7,1,2,4,1,NA,5000,"15000",10000,0,0,0,5000,49000,0,0,NA,NA,2,2,1,5,"uuid:c6f38f4c-ce46-495f-b71e-003446423b45",2305021814,68.216667175293,2021-09-11
"119",218,2047,98,7,1,2,4,1,NA,18500,"0",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:30d9271c-b899-4d8d-8aea-802f3b543c13",2305021814,125.166664123535,2021-09-11
"120",225,2048,98,7,1,2,4,1,NA,60000,"0",0,0,0,0,35000,0,0,0,NA,NA,7,0,1,NA,"uuid:728d273f-a9ee-4a71-a8b6-4dc9fcdbbe36",2305021814,141.850006103516,2021-09-11
"121",218,2049,101,2,5,2,4,1,NA,1e+05,"0",0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,"uuid:649c58ba-4b67-4f58-aea8-23b57ef01e36",2305021814,137.149993896484,2021-09-11
